//name,effect,power,type,accuracy,pp
//TODO effect is ignored for now
DISABLE,DISABLE_EFFECT,0,NORMAL,55,20
ACID,DEFENSE_DOWN_SIDE_EFFECT,40,POISON,100,30
EMBER,BURN_SIDE_EFFECT1,40,FIRE,100,25
FLAMETHROWER,BURN_SIDE_EFFECT1,95,FIRE,100,15
MIST,MIST_EFFECT,0,ICE,100,30
WATER_GUN,NO_ADDITIONAL_EFFECT,40,WATER,100,25
HYDRO_PUMP,NO_ADDITIONAL_EFFECT,120,WATER,80,5
SURF,NO_ADDITIONAL_EFFECT,95,WATER,100,15
ICE_BEAM,FREEZE_SIDE_EFFECT,95,ICE,100,10
BLIZZARD,FREEZE_SIDE_EFFECT,120,ICE,90,5
PSYBEAM,CONFUSION_SIDE_EFFECT,65,PSYCHIC,100,20
BUBBLEBEAM,SPEED_DOWN_SIDE_EFFECT,65,WATER,100,20
AURORA_BEAM,ATTACK_DOWN_SIDE_EFFECT,65,ICE,100,20
HYPER_BEAM,HYPER_BEAM_EFFECT,150,NORMAL,90,5
PECK,NO_ADDITIONAL_EFFECT,35,FLYING,100,35
DRILL_PECK,NO_ADDITIONAL_EFFECT,80,FLYING,100,20
SUBMISSION,RECOIL_EFFECT,80,FIGHTING,80,25
LOW_KICK,FLINCH_SIDE_EFFECT2,50,FIGHTING,90,20
COUNTER,NO_ADDITIONAL_EFFECT,1,FIGHTING,100,20
SEISMIC_TOSS,SPECIAL_DAMAGE_EFFECT,1,FIGHTING,100,20
STRENGTH,NO_ADDITIONAL_EFFECT,80,NORMAL,100,15
ABSORB,DRAIN_HP_EFFECT,20,GRASS,100,20
MEGA_DRAIN,DRAIN_HP_EFFECT,40,GRASS,100,10
LEECH_SEED,LEECH_SEED_EFFECT,0,GRASS,90,10
GROWTH,SPECIAL_UP1_EFFECT,0,NORMAL,100,40
RAZOR_LEAF,NO_ADDITIONAL_EFFECT,55,GRASS,95,25
SOLARBEAM,CHARGE_EFFECT,120,GRASS,100,10
POISONPOWDER,POISON_EFFECT,0,POISON,75,35
STUN_SPORE,PARALYZE_EFFECT,0,GRASS,75,30
SLEEP_POWDER,SLEEP_EFFECT,0,GRASS,75,15
PETAL_DANCE,THRASH_PETAL_DANCE_EFFECT,70,GRASS,100,20
STRING_SHOT,SPEED_DOWN1_EFFECT,0,BUG,95,40
DRAGON_RAGE,SPECIAL_DAMAGE_EFFECT,1,DRAGON,100,10
FIRE_SPIN,TRAPPING_EFFECT,15,FIRE,70,15
THUNDERSHOCK,PARALYZE_SIDE_EFFECT1,40,ELECTRIC,100,30
THUNDERBOLT,PARALYZE_SIDE_EFFECT1,95,ELECTRIC,100,15
THUNDER_WAVE,PARALYZE_EFFECT,0,ELECTRIC,100,20
THUNDER,PARALYZE_SIDE_EFFECT1,120,ELECTRIC,70,10
ROCK_THROW,NO_ADDITIONAL_EFFECT,50,ROCK,65,15
EARTHQUAKE,NO_ADDITIONAL_EFFECT,100,GROUND,100,10
FISSURE,OHKO_EFFECT,1,GROUND,30,5
DIG,CHARGE_EFFECT,100,GROUND,100,10
TOXIC,POISON_EFFECT,0,POISON,85,10
CONFUSION,CONFUSION_SIDE_EFFECT,50,PSYCHIC,100,25
PSYCHIC_M,SPECIAL_DOWN_SIDE_EFFECT,90,PSYCHIC,100,10
HYPNOSIS,SLEEP_EFFECT,0,PSYCHIC,60,20
MEDITATE,ATTACK_UP1_EFFECT,0,PSYCHIC,100,40
AGILITY,SPEED_UP2_EFFECT,0,PSYCHIC,100,30
QUICK_ATTACK,NO_ADDITIONAL_EFFECT,40,NORMAL,100,30
RAGE,RAGE_EFFECT,20,NORMAL,100,20
TELEPORT,SWITCH_AND_TELEPORT_EFFECT,0,PSYCHIC,100,20
NIGHT_SHADE,SPECIAL_DAMAGE_EFFECT,0,GHOST,100,15
MIMIC,MIMIC_EFFECT,0,NORMAL,100,10
SCREECH,DEFENSE_DOWN2_EFFECT,0,NORMAL,85,40
DOUBLE_TEAM,EVASION_UP1_EFFECT,0,NORMAL,100,15
RECOVER,HEAL_EFFECT,0,NORMAL,100,20
HARDEN,DEFENSE_UP1_EFFECT,0,NORMAL,100,30
MINIMIZE,EVASION_UP1_EFFECT,0,NORMAL,100,20
SMOKESCREEN,ACCURACY_DOWN1_EFFECT,0,NORMAL,100,20
CONFUSE_RAY,CONFUSION_EFFECT,0,GHOST,100,10
WITHDRAW,DEFENSE_UP1_EFFECT,0,WATER,100,40
DEFENSE_CURL,DEFENSE_UP1_EFFECT,0,NORMAL,100,40
BARRIER,DEFENSE_UP2_EFFECT,0,PSYCHIC,100,30
LIGHT_SCREEN,LIGHT_SCREEN_EFFECT,0,PSYCHIC,100,30
HAZE,HAZE_EFFECT,0,ICE,100,30
REFLECT,REFLECT_EFFECT,0,PSYCHIC,100,20
FOCUS_ENERGY,FOCUS_ENERGY_EFFECT,0,NORMAL,100,30
BIDE,BIDE_EFFECT,0,NORMAL,100,10
METRONOME,METRONOME_EFFECT,0,NORMAL,100,10
MIRROR_MOVE,MIRROR_MOVE_EFFECT,0,FLYING,100,20
SELFDESTRUCT,EXPLODE_EFFECT,130,NORMAL,100,5
EGG_BOMB,NO_ADDITIONAL_EFFECT,100,NORMAL,75,10
LICK,PARALYZE_SIDE_EFFECT2,20,GHOST,100,30
SMOG,POISON_SIDE_EFFECT2,20,POISON,70,20
SLUDGE,POISON_SIDE_EFFECT2,65,POISON,100,20
BONE_CLUB,FLINCH_SIDE_EFFECT1,65,GROUND,85,20
FIRE_BLAST,BURN_SIDE_EFFECT2,120,FIRE,85,5
WATERFALL,NO_ADDITIONAL_EFFECT,80,WATER,100,15
CLAMP,TRAPPING_EFFECT,35,WATER,75,10
SWIFT,SWIFT_EFFECT,60,NORMAL,100,20
SKULL_BASH,CHARGE_EFFECT,100,NORMAL,100,15
SPIKE_CANNON,TWO_TO_FIVE_ATTACKS_EFFECT,20,NORMAL,100,15
CONSTRICT,SPEED_DOWN_SIDE_EFFECT,10,NORMAL,100,35
AMNESIA,SPECIAL_UP2_EFFECT,0,PSYCHIC,100,20
KINESIS,ACCURACY_DOWN1_EFFECT,0,PSYCHIC,80,15
SOFTBOILED,HEAL_EFFECT,0,NORMAL,100,10
HI_JUMP_KICK,JUMP_KICK_EFFECT,85,FIGHTING,90,20
GLARE,PARALYZE_EFFECT,0,NORMAL,75,30
DREAM_EATER,DREAM_EATER_EFFECT,100,PSYCHIC,100,15
POISON_GAS,POISON_EFFECT,0,POISON,55,40
BARRAGE,TWO_TO_FIVE_ATTACKS_EFFECT,15,NORMAL,85,20
LEECH_LIFE,DRAIN_HP_EFFECT,20,BUG,100,15
LOVELY_KISS,SLEEP_EFFECT,0,NORMAL,75,10
SKY_ATTACK,CHARGE_EFFECT,140,FLYING,90,5
TRANSFORM,TRANSFORM_EFFECT,0,NORMAL,100,10
BUBBLE,SPEED_DOWN_SIDE_EFFECT,20,WATER,100,30
DIZZY_PUNCH,NO_ADDITIONAL_EFFECT,70,NORMAL,100,10
SPORE,SLEEP_EFFECT,0,GRASS,100,15
FLASH,ACCURACY_DOWN1_EFFECT,0,NORMAL,70,20
PSYWAVE,SPECIAL_DAMAGE_EFFECT,1,PSYCHIC,80,15
SPLASH,SPLASH_EFFECT,0,NORMAL,100,40
ACID_ARMOR,DEFENSE_UP2_EFFECT,0,POISON,100,40
CRABHAMMER,NO_ADDITIONAL_EFFECT,90,WATER,85,10
EXPLOSION,EXPLODE_EFFECT,170,NORMAL,100,5
FURY_SWIPES,TWO_TO_FIVE_ATTACKS_EFFECT,18,NORMAL,80,15
BONEMERANG,ATTACK_TWICE_EFFECT,50,GROUND,90,10
REST,HEAL_EFFECT,0,PSYCHIC,100,10
ROCK_SLIDE,NO_ADDITIONAL_EFFECT,75,ROCK,90,10
HYPER_FANG,FLINCH_SIDE_EFFECT1,80,NORMAL,90,15
SHARPEN,ATTACK_UP1_EFFECT,0,NORMAL,100,30
CONVERSION,CONVERSION_EFFECT,0,NORMAL,100,30
TRI_ATTACK,NO_ADDITIONAL_EFFECT,80,NORMAL,100,10
SUPER_FANG,SUPER_FANG_EFFECT,1,NORMAL,90,10
SLASH,NO_ADDITIONAL_EFFECT,70,NORMAL,100,20
SUBSTITUTE,SUBSTITUTE_EFFECT,0,NORMAL,100,10
STRUGGLE,RECOIL_EFFECT,50,NORMAL,100,10
